Rank your 4 favorite pizza toppings (3 winners) [Pepperoni],Rank your 4 favorite pizza toppings (3 winners) [Sausage],Rank your 4 favorite pizza toppings (3 winners) [Bell Peppers],Rank your 4 favorite pizza toppings (3 winners) [Onions],Rank your 4 favorite pizza toppings (3 winners) [Ground Beef],Rank your 4 favorite pizza toppings (3 winners) [Olives],Rank your 4 favorite pizza toppings (3 winners) [Mushrooms],Rank your 4 favorite pizza toppings (3 winners) [BBQ Chicken],Rank your 4 favorite pizza toppings (3 winners) [Pineapple],Rank your 4 favorite pizza toppings (3 winners) [Basil],Rank your 4 favorite pizza toppings (3 winners) [Chorizo],Rank the seasons [Summer],Rank the seasons [Autumn],Rank the seasons [Winter],Rank the seasons [Spring]
3rd,,1st,,,,,,2nd,4th,,2nd,3rd,4th,1st
,4th,1st,,,,,,3rd,,2nd,2nd,3rd,1st,4th
3rd,1st,,,,2nd,,,,,4th,3rd,2nd,4th,1st
1st,,,3rd,4th,,,,2nd,,,1st,3rd,4th,2nd
3rd,4th,,,2nd,,1st,,,,,3rd,2nd,4th,1st
,,2nd,,4th,1st,,,,3rd,,4th,3rd,1st,2nd
,,2nd,,3rd,4th,,,,1st,,1st,3rd,4th,2nd
3rd,2nd,1st,,,,,,,,4th,1st,2nd,3rd,4th
,,,,3rd,,1st,4th,,,2nd,4th,3rd,2nd,1st
,,,2nd,,3rd,4th,,1st,,,2nd,4th,3rd,1st
2nd,,1st,,,,4th,,3rd,,,3rd,2nd,4th,1st
1st,,,,,2nd,,,3rd,,4th,2nd,3rd,4th,1st
3rd,4th,,,,,,,1st,2nd,,3rd,1st,4th,2nd
1st,,,2nd,,,,4th,,,3rd,1st,3rd,4th,2nd
3rd,1st,,,4th,,,,,,2nd,3rd,4th,1st,2nd
1st,,,,,,2nd,4th,,,3rd,2nd,1st,4th,3rd
2nd,3rd,1st,,,,,4th,,,,2nd,1st,4th,3rd
,2nd,4th,,,1st,,,,,3rd,4th,2nd,3rd,1st
3rd,2nd,1st,,,,,,,,4th,1st,2nd,4th,3rd
,,,,1st,,,3rd,4th,,2nd,2nd,3rd,4th,1st
,,,4th,3rd,,1st,,,,2nd,1st,3rd,4th,2nd
3rd,,2nd,,1st,,4th,,,,,1st,3rd,2nd,4th
1st,,,,3rd,,4th,,,2nd,,1st,3rd,4th,2nd
,3rd,4th,,1st,,,2nd,,,,2nd,3rd,4th,1st
1st,3rd,4th,,,,,,,,2nd,1st,2nd,4th,3rd
1st,,,,,,3rd,,4th,2nd,,2nd,3rd,4th,1st
,4th,1st,,,,3rd,,2nd,,,1st,2nd,4th,3rd
4th,,1st,,,,3rd,,,,2nd,1st,3rd,2nd,4th
1st,4th,,,,,3rd,,,,2nd,3rd,2nd,4th,1st
4th,1st,,,,,,2nd,,3rd,,2nd,1st,4th,3rd
,,,2nd,,1st,,3rd,4th,,,4th,1st,2nd,3rd
2nd,,,4th,1st,,,,3rd,,,1st,4th,3rd,2nd
,2nd,,,,,,,4th,3rd,1st,1st,2nd,3rd,4th
,,,1st,2nd,,,,3rd,4th,,2nd,1st,4th,3rd
1st,2nd,,,,,,,3rd,,4th,1st,4th,2nd,3rd
,,,2nd,4th,,1st,,,,3rd,1st,2nd,4th,3rd
2nd,1st,,,,,,,3rd,,4th,1st,2nd,4th,3rd
1st,,,,2nd,,4th,,,,3rd,2nd,1st,4th,3rd
2nd,3rd,,4th,,,,,,,1st,2nd,1st,4th,3rd
2nd,1st,,,,,,4th,,3rd,,2nd,4th,1st,3rd
2nd,,3rd,,,,,,4th,,1st,1st,3rd,4th,2nd
2nd,1st,,,,,,,4th,,3rd,2nd,1st,4th,3rd
1st,3rd,4th,,,2nd,,,,,,1st,3rd,4th,2nd
,3rd,,1st,,2nd,,,,,4th,4th,3rd,2nd,1st
3rd,,2nd,,,,,,4th,,1st,4th,1st,2nd,3rd
4th,,,2nd,,,3rd,,,,1st,2nd,3rd,4th,1st
1st,,,3rd,,,2nd,,,,4th,1st,3rd,2nd,4th
,4th,3rd,,1st,,,,,,2nd,3rd,1st,4th,2nd
,,,,,3rd,,4th,1st,,2nd,1st,4th,3rd,2nd
,,,,3rd,,1st,2nd,,,4th,1st,2nd,4th,3rd
1st,4th,,,,,3rd,2nd,,,,1st,3rd,4th,2nd
2nd,1st,,,,,,3rd,,,4th,1st,2nd,3rd,4th
,2nd,3rd,,,,1st,,,,4th,1st,4th,2nd,3rd
,,3rd,,,4th,,,,2nd,1st,2nd,1st,4th,3rd
,4th,3rd,,,,,,2nd,,1st,2nd,1st,4th,3rd
4th,3rd,,,,,,,1st,2nd,,1st,4th,3rd,2nd
4th,3rd,,1st,,,,,,,2nd,1st,2nd,4th,3rd
1st,3rd,,,,,,,2nd,,4th,2nd,1st,4th,3rd
,,,,2nd,1st,4th,3rd,,,,3rd,2nd,4th,1st
,,2nd,4th,3rd,,,,,,1st,1st,2nd,4th,3rd
,,3rd,2nd,,,,,4th,1st,,3rd,2nd,4th,1st
1st,3rd,,,,2nd,4th,,,,,2nd,3rd,4th,1st
1st,,,,,3rd,,,4th,2nd,,1st,4th,2nd,3rd
,3rd,2nd,,1st,,,,,4th,,1st,3rd,4th,2nd
,,,3rd,2nd,,1st,,,,4th,2nd,3rd,4th,1st
,,,,,2nd,1st,4th,,3rd,,1st,2nd,3rd,4th
,,,4th,,,3rd,,1st,2nd,,1st,2nd,4th,3rd
1st,2nd,,,,,4th,,,,3rd,1st,3rd,4th,2nd
1st,2nd,,,,,3rd,,4th,,,1st,2nd,4th,3rd
2nd,3rd,1st,,,,,,4th,,,1st,3rd,4th,2nd
1st,,,,,4th,,,3rd,2nd,,2nd,4th,3rd,1st
,2nd,,,4th,,,,1st,,3rd,3rd,1st,4th,2nd
1st,3rd,2nd,,,,,,,,4th,2nd,1st,4th,3rd
,,2nd,1st,3rd,,4th,,,,,2nd,1st,4th,3rd
,1st,,3rd,,,4th,,2nd,,,2nd,4th,1st,3rd
2nd,,,4th,,,,1st,,,3rd,3rd,2nd,4th,1st
2nd,,,,,,1st,,3rd,4th,,2nd,1st,4th,3rd
,4th,2nd,,,,3rd,,,,1st,1st,3rd,4th,2nd
,3rd,,,,,4th,,,2nd,1st,2nd,3rd,4th,1st
4th,,3rd,2nd,,,1st,,,,,2nd,4th,3rd,1st
3rd,,,,1st,,,2nd,4th,,,1st,2nd,4th,3rd
1st,2nd,3rd,,,,,,,,4th,1st,3rd,4th,2nd
3rd,,,2nd,,,1st,4th,,,,2nd,4th,3rd,1st
2nd,4th,,,,,,,,3rd,1st,1st,3rd,4th,2nd
4th,,,2nd,3rd,,1st,,,,,2nd,4th,3rd,1st
,,,,,,4th,2nd,,1st,3rd,2nd,3rd,4th,1st
,,4th,,3rd,,,2nd,,,1st,1st,2nd,4th,3rd
3rd,4th,,,,,2nd,,,,1st,2nd,3rd,4th,1st
2nd,1st,,3rd,,,,4th,,,,3rd,2nd,4th,1st
,,4th,,,,1st,,,2nd,3rd,1st,3rd,4th,2nd
,2nd,3rd,,,1st,4th,,,,,2nd,1st,3rd,4th
3rd,2nd,,,4th,,,,,,1st,2nd,1st,4th,3rd
3rd,,,2nd,1st,,4th,,,,,1st,2nd,4th,3rd
3rd,,,,2nd,,,,,4th,1st,3rd,1st,4th,2nd
,,2nd,,,,1st,3rd,,,4th,1st,3rd,4th,2nd
4th,2nd,,,1st,,,,3rd,,,1st,2nd,3rd,4th
2nd,1st,,4th,,,,,,,3rd,1st,2nd,4th,3rd
,2nd,3rd,,4th,,,1st,,,,1st,4th,2nd,3rd
,,3rd,,1st,,,,2nd,4th,,1st,2nd,4th,3rd
4th,3rd,2nd,,,,,,1st,,,1st,4th,3rd,2nd
,,,,,,3rd,,4th,1st,2nd,3rd,2nd,4th,1st
,,,2nd,1st,4th,3rd,,,,,2nd,4th,3rd,1st
,4th,2nd,3rd,,,,,,,1st,3rd,1st,4th,2nd
2nd,1st,,,,4th,,,,,3rd,3rd,2nd,4th,1st
3rd,1st,,,,,,4th,,,2nd,2nd,3rd,4th,1st
,1st,,3rd,,,,,2nd,,4th,1st,2nd,4th,3rd
4th,1st,,,2nd,,,,3rd,,,1st,3rd,2nd,4th
,,,,,,2nd,3rd,,1st,4th,1st,4th,3rd,2nd
,2nd,3rd,,1st,,,,,4th,,2nd,3rd,4th,1st
4th,2nd,,1st,,,,,,3rd,,1st,2nd,4th,3rd
3rd,2nd,,,,,,,,1st,4th,1st,2nd,3rd,4th
,,4th,3rd,,,,,2nd,,1st,3rd,4th,1st,2nd
,1st,,4th,2nd,,3rd,,,,,2nd,4th,3rd,1st
,2nd,,,1st,,,,3rd,,4th,3rd,4th,1st,2nd
3rd,,,4th,1st,,,,,,2nd,2nd,4th,3rd,1st
,,2nd,,,,3rd,4th,1st,,,2nd,4th,3rd,1st
2nd,,3rd,,1st,,,,,4th,,1st,4th,3rd,2nd
,4th,,,,,,,2nd,1st,3rd,3rd,1st,4th,2nd
,,,,,,3rd,2nd,4th,,1st,2nd,1st,3rd,4th
4th,,2nd,,,,3rd,,1st,,,2nd,3rd,4th,1st
1st,3rd,,,,,,,4th,,2nd,3rd,1st,4th,2nd
,3rd,2nd,,1st,,,,,4th,,1st,3rd,4th,2nd
1st,4th,3rd,,,,,,2nd,,,3rd,4th,1st,2nd
,1st,,,,2nd,3rd,,4th,,,1st,3rd,2nd,4th
3rd,4th,,2nd,1st,,,,,,,1st,4th,2nd,3rd
,,,,2nd,,3rd,,1st,,4th,3rd,1st,2nd,4th
4th,,3rd,,2nd,,,,,,1st,1st,3rd,4th,2nd
1st,3rd,,,,,4th,,,,2nd,1st,2nd,3rd,4th
,,,,2nd,,,,3rd,4th,1st,2nd,3rd,4th,1st
,,,,,2nd,3rd,,,4th,1st,2nd,3rd,4th,1st
,4th,,1st,,,,3rd,,,2nd,1st,2nd,4th,3rd
2nd,3rd,1st,,,,,,,,4th,1st,3rd,2nd,4th
4th,2nd,1st,,,,,3rd,,,,1st,2nd,4th,3rd
3rd,,,,2nd,,1st,,,,4th,2nd,3rd,4th,1st
,,,,,,3rd,1st,2nd,,4th,2nd,1st,3rd,4th
2nd,,,3rd,,,4th,1st,,,,4th,1st,3rd,2nd
4th,3rd,,,1st,,2nd,,,,,1st,2nd,4th,3rd
2nd,3rd,,,,,,4th,,,1st,3rd,2nd,4th,1st
3rd,,,2nd,,,1st,,4th,,,1st,4th,2nd,3rd
,,2nd,,1st,,,,4th,,3rd,1st,2nd,4th,3rd
,3rd,,2nd,,,,4th,,1st,,2nd,4th,3rd,1st
1st,,3rd,,,,4th,2nd,,,,2nd,4th,1st,3rd
,,,,2nd,,4th,,,1st,3rd,1st,3rd,4th,2nd
2nd,3rd,,,,,4th,1st,,,,1st,2nd,4th,3rd
1st,2nd,,,3rd,,4th,,,,,2nd,3rd,4th,1st
4th,,2nd,3rd,1st,,,,,,,2nd,3rd,4th,1st
,1st,,,,,3rd,,2nd,,4th,2nd,3rd,4th,1st
3rd,,1st,,4th,,,,,,2nd,2nd,3rd,4th,1st
1st,3rd,,,,,4th,,,,2nd,1st,3rd,4th,2nd
,1st,4th,,2nd,,,,,3rd,,2nd,3rd,4th,1st
2nd,4th,1st,3rd,,,,,,,,2nd,1st,4th,3rd
,,2nd,,1st,,4th,,,3rd,,1st,3rd,4th,2nd
2nd,,,,,4th,,,1st,,3rd,3rd,4th,1st,2nd
,3rd,,,1st,2nd,4th,,,,,1st,3rd,4th,2nd
1st,2nd,,3rd,,,4th,,,,,1st,2nd,4th,3rd
,,3rd,,1st,2nd,,,4th,,,3rd,4th,1st,2nd
4th,,2nd,,,,,,1st,,3rd,3rd,4th,2nd,1st
1st,,,,,,3rd,,2nd,,4th,1st,3rd,2nd,4th
,2nd,4th,3rd,,,,,,,1st,2nd,1st,3rd,4th
,4th,,2nd,,,1st,,,3rd,,2nd,4th,3rd,1st
3rd,1st,,,,,4th,,,,2nd,2nd,3rd,1st,4th
1st,3rd,,,2nd,,,4th,,,,1st,3rd,4th,2nd
2nd,,,,1st,4th,,,,,3rd,3rd,2nd,4th,1st
4th,,2nd,3rd,,,,,,,1st,2nd,4th,3rd,1st
3rd,,2nd,,,,1st,,,,4th,3rd,4th,1st,2nd
3rd,,2nd,4th,,1st,,,,,,1st,2nd,4th,3rd
,,,2nd,,,3rd,,1st,,4th,3rd,1st,4th,2nd
4th,,,,3rd,,,1st,,,2nd,2nd,1st,3rd,4th
,,,,,,2nd,4th,3rd,,1st,2nd,3rd,4th,1st
,3rd,4th,2nd,,,1st,,,,,2nd,4th,1st,3rd
,1st,,,,4th,,3rd,,,2nd,1st,3rd,2nd,4th
,,4th,,3rd,,,,2nd,,1st,1st,2nd,4th,3rd
4th,2nd,3rd,1st,,,,,,,,4th,2nd,1st,3rd
1st,3rd,,2nd,,,,,,,4th,1st,2nd,4th,3rd
1st,,,2nd,,,,3rd,,4th,,1st,2nd,3rd,4th
3rd,1st,,,,,,,2nd,4th,,2nd,4th,3rd,1st
,,,2nd,4th,1st,,,3rd,,,3rd,1st,4th,2nd
,4th,,,1st,,,3rd,,,2nd,1st,2nd,4th,3rd
2nd,,1st,,,,4th,,,,3rd,1st,4th,2nd,3rd
1st,4th,,,,,,,2nd,,3rd,2nd,3rd,1st,4th
1st,4th,,,,,2nd,,,,3rd,1st,2nd,4th,3rd
,2nd,4th,,,3rd,,,1st,,,1st,4th,3rd,2nd
3rd,4th,,,2nd,1st,,,,,,2nd,1st,4th,3rd
2nd,4th,,,,,,,1st,,3rd,4th,2nd,1st,3rd
,,2nd,,,,1st,3rd,,,4th,2nd,1st,3rd,4th
1st,2nd,,,4th,3rd,,,,,,2nd,1st,4th,3rd
,,,,4th,3rd,1st,,2nd,,,1st,2nd,4th,3rd
1st,3rd,,,,,2nd,,4th,,,3rd,2nd,4th,1st
,,4th,,3rd,,,,2nd,1st,,1st,4th,3rd,2nd
1st,,2nd,4th,,,,,3rd,,,3rd,4th,1st,2nd
3rd,,,2nd,,,,,4th,,1st,2nd,1st,4th,3rd
1st,,,,,,,2nd,,4th,3rd,1st,3rd,4th,2nd
2nd,3rd,,1st,,,,,,,4th,1st,2nd,3rd,4th
4th,,1st,,,,2nd,,,,3rd,3rd,2nd,4th,1st
1st,,,,,,3rd,,4th,,2nd,1st,2nd,4th,3rd
,4th,2nd,,,1st,,,,,3rd,1st,2nd,4th,3rd
2nd,3rd,,,4th,,,1st,,,,1st,2nd,3rd,4th
3rd,,,2nd,,,1st,,4th,,,2nd,3rd,4th,1st
,,,,,2nd,3rd,4th,,1st,,2nd,4th,3rd,1st
2nd,1st,4th,,3rd,,,,,,,1st,4th,2nd,3rd
3rd,,1st,4th,,,,,,,2nd,2nd,3rd,4th,1st
